id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0000002,2000002,     2 Pallas,2,Pallas,0,N,N,4.13,0.11,544000.00,42916.00,0,0,0,508388.31,582x556x500,0.1587,7.8132,14.3,0.635,0.284,0,B,B,0,9494.40,JPL 26,2457200.5,57200,20150627,J2000,0.231157671,2.772003634,2.131233729,34.84025752,173.0921508,309.9655642,120.9190263,3.412773539,0.213556788,2456634.285,20131207.79,1685.734286,4.61528894,1.23108,479.0994036,3.043,1.93E-08,2.17E-09,5.35E-08,0.000002135,0.00000374,0.00000554,0.0000049,2.67E-09,2.50E-10,0.000022691,0.00000198,MBA,Davide Farnocchia,68635,1825-03-23,41325,7829,0,0,0,0.54,0,0,0,0,0
a0000005,2000005,     5 Astraea,5,Astraea,0,N,N,6.85,0,115000.00,9353.00,0,0,0,106913.27,0,0.2268,16.8,0,0.826,0.411,0,S,S,0,5963.17,JPL 94,2457200.5,57200,20150627,J2000,0.191187799,2.573479944,2.081461977,5.368548634,141.5957763,358.9692793,307.8982844,3.065497911,0.238738737,2457418.737,20160131.24,1507.92454,4.128472388,1.09509,426.1761753,3.396,2.22E-08,3.94E-09,5.67E-08,0.00000268,0.000028997,0.000029828,0.00000739,4.69E-09,5.48E-10,0.000031023,0.00000346,MBA,Otto Matic,62012,1845-12-15,42274,2270,0,0,0,0.58,0,0,0,0,0
a0000006,2000006,     6 Hebe,6,Hebe,0,N,N,5.71,0.24,195640.00,5440.00,0,0,0,227648.51,0,0.2679,7.2745,0,0.822,0.399,0,S,S,0,16211.18,JPL 82,2457200.5,57200,20150627,J2000,0.201506579,2.426039619,1.937176675,14.74818912,138.7034668,239.485891,81.31793891,2.914902563,0.260829819,2456888.734,20140819.23,1380.210288,3.778809824,0.978656,380.8635555,3.438,0.000000019,1.77E-09,0.000000046,0.0000021,0.000010767,0.000012494,0.00000692,2.13E-09,2.85E-10,0.000026442,0.00000151,MBA,Davide Farnocchia,60166,1848-09-08,41426,5455,0,0,0,0.53,0,0,0,0,0
a0000009,2000009,     9 Metis,9,Metis,0,N,N,6.28,0.17,190791.00,4901.00,0,0,0,210289.64,0,0.118,5.079,0,0.858,0.496,0,0,S,0,3747.43,JPL 103,2457200.5,57200,20150627,J2000,0.122177632,2.386573817,2.094987878,5.574060629,68.93970649,5.873617224,263.1426346,2.678159755,0.267326349,2457562.819,20160623.32,1346.668602,3.686977691,1.11057,432.2005269,3.518,1.76E-08,3.07E-09,4.21E-08,0.00000198,0.000024263,0.000026059,0.00000979,3.44E-09,5.16E-10,0.000036778,0.0000026,MBA,Otto Matic,60649,1849-07-31,42235,2405,0,0,0,0.44,0,0,0,0,0
a0000010,2000010,    10 Hygiea,10,Hygiea,0,N,N,5.43,0,453239.00,19244.00,0,0,0,451251.70,0,0.0717,27.623,7,0.696,0.351,0,C,C,0,6050.17,JPL 85,2457200.5,57200,20150627,J2000,0.114691745,3.142115877,2.781741123,3.837766054,283.4123109,312.1043107,264.463973,3.502490631,0.176958235,2457740.379,20161217.88,2034.378337,5.569824332,1.77198,689.6014566,3.196,1.66E-08,6.35E-09,5.24E-08,0.00000223,0.000029513,0.000031197,0.00001136,7.07E-09,5.36E-10,0.000065034,0.00000616,MBA,Davide Farnocchia,59732,1849-05-26,41252,2840,0,0,0,0.61,0,0,0,0,0
a0000011,2000011,    11 Parthenope,11,Parthenope,0,N,N,6.55,0,142890.00,1010.00,0,0,0,148824.63,0,0.1803,13.7204,0,0.837,0.417,0,Sk,S,0,1540.29,JPL 88,2457200.5,57200,20150627,J2000,0.100164807,2.452325488,2.206688779,4.629842331,125.5667682,196.0396146,279.1551247,2.697962197,0.256647422,2457515.504,20160507,1402.702577,3.840390354,1.1941,464.707897,3.483,2.54E-08,2.45E-09,6.27E-08,0.0000032,0.000024401,0.000026914,0.000011185,2.70E-09,3.85E-10,0.000043634,0.00000211,MBA,Otto Matic,60273,1850-09-17,42272,5013,0,0,0,0.46,0,0,0,0,0
a0000012,2000012,    12 Victoria,12,Victoria,0,N,N,7.24,0.22,126643.00,3199.00,0,0,0,150787.62,0,0.1765,8.6599,0,0.874,0.515,0,L,S,0,4842.74,JPL 100,2457200.5,57200,20150627,J2000,0.221247513,2.33318827,1.816976166,8.369283175,235.4857964,69.50661154,106.488526,2.849400373,0.276553652,2456815.444,20140606.94,1301.736563,3.563960473,0.822123,319.9456079,3.522,2.38E-08,2.17E-09,5.58E-08,0.00000252,0.000019426,0.000020219,0.00000638,2.66E-09,3.87E-10,0.000022834,0.00000182,MBA,Otto Matic,60274,1850-09-18,42274,2438,0,0,0,0.57,0,0,0,0,0
a0000013,2000013,    13 Egeria,13,Egeria,0,N,N,6.74,0,227000.00,38000.00,0,0,0,226899.82,0,0.0825,7.045,0,0.745,0.452,0,Ch,G,0,7020.73,JPL 74,2457200.5,57200,20150627,J2000,0.083737748,2.577127354,2.361324513,16.53743468,43.24332847,80.21551453,214.2969925,2.792930194,0.238232086,2457812.101,20170227.6,1511.131462,4.137252463,1.44083,560.7278111,3.364,0.000000028,3.69E-09,7.21E-08,0.00000361,0.000011771,0.00002306,0.000019644,0.000000004,5.12E-10,0.000082592,0.00000324,MBA,Otto Matic,60143,1850-11-21,42207,1927,0,0,0,0.64,0,0,0,0,0
a0000014,2000014,    14 Irene,14,Irene,0,N,N,6.3,0,140760.00,8410.00,0,0,0,135929.58,0,0.159,15.028,0,0.833,0.388,0,S,S,0,2188.84,JPL 66,2457200.5,57200,20150627,J2000,0.166237036,2.586358074,2.156409574,9.118097517,86.15317915,98.02628916,192.9165458,3.016306575,0.236957848,2457905.619,20170601.12,1519.257554,4.159500489,1.181,459.60977,3.385,2.62E-08,3.31E-09,6.82E-08,0.00000352,0.000019507,0.000021788,0.00000965,3.86E-09,4.55E-10,0.000040673,0.000002916,MBA,Otto Matic,60008,1851-05-20,42252,2279,0,0,0,0.57,0,0,0,0,0
a0000015,2000015,    15 Eunomia,15,Eunomia,0,N,N,5.28,0.23,259000.00,35511.00,0,0,0,257319.95,0,0.2094,6.083,0,0.839,0.451,0,S,S,0,9362.23,JPL 70,2457200.5,57200,20150627,J2000,0.18737574,2.643923121,2.148516069,11.73822007,293.1855544,97.53941322,323.3872658,3.139330173,0.229261347,2457360.199,20151203.7,1570.260337,4.2991385,1.19208,463.9217736,3.339,2.82E-08,3.28E-09,7.45E-08,0.00000259,0.000014854,0.000016328,0.00000705,3.89E-09,4.26E-10,0.000030876,0.00000292,MBA,Davide Farnocchia,59109,1851-09-02,41458,2075,0,0,0,0.64,0,0,0,0,0
a0000019,2000019,    19 Fortuna,19,Fortuna,0,N,N,7.13,0.1,196370.00,300.00,0,0,0,210556.63,0,0.037,7.4432,0,0.719,0.324,0,Ch,G,0,3182.52,JPL 111,2457200.5,57200,20150627,J2000,0.15885487,2.441434673,2.053600885,1.57374315,211.1555576,182.2324195,195.5179904,2.829268462,0.258366625,2457837.123,20170324.62,1393.368824,3.814835931,1.06006,412.5435502,3.483,2.33E-08,3.18E-09,5.72E-08,0.00000269,0.00010298,0.00010329,0.000010002,3.68E-09,5.05E-10,0.000039267,0.00000272,MBA,Otto Matic,59544,1852-09-14,42271,2586,0,0,0,0.55,0,0,0,0,0
a0000022,2000022,    22 Kalliope,22,Kalliope,0,N,N,6.45,0.21,167540.00,3050.00,0,0,0,154377.05,0,0.1419,4.1483,0.491,0.715,0.234,0,X,M,0,3349.86,JPL 79,2457200.5,57200,20150627,J2000,0.099604167,2.910800898,2.620873,13.71460095,66.07459888,354.8844669,280.0314567,3.200728797,0.198465637,2457603.434,20160802.93,1813.916024,4.966231414,1.63467,636.1645239,3.234,3.39E-08,6.63E-09,9.76E-08,0.00000381,0.000011446,0.000017639,0.000014791,7.29E-09,6.79E-10,0.000075122,0.0000062,MBA,Otto Matic,58932,1854-04-14,42236,2266,0,0,0,0.53,0,0,0,0,0
a0000024,2000024,    24 Themis,24,Themis,0,N,N,7.08,0.19,202336.00,6054.00,0,0,0,209681.43,0,0.067,8.374,0,0.684,0.336,0,B,C,0,3193.85,JPL 95,2457200.5,57200,20150627,J2000,0.125756074,3.135627895,2.741303642,0.752197697,35.92033922,106.7707725,107.0864077,3.529952149,0.17750774,2456597.223,20131031.72,2028.080578,5.552582006,1.75461,682.8415737,3.2,2.57E-08,7.75E-09,0.000000081,0.00000293,0.00022598,0.00022631,0.000011814,8.72E-09,6.58E-10,0.000065497,0.00000752,MBA,Otto Matic,59318,1853-04-27,42270,2307,0,0,0,0.65,0,0,0,0,0
a0000026,2000026,    26 Proserpina,26,Proserpina,0,N,N,7.5,0,83040.00,2140.00,0,0,0,79361.93,0,0.1966,13.11,0,0.891,0.525,0,S,S,0,3178.43,JPL 100,2457200.5,57200,20150627,J2000,0.090469776,2.654576681,2.414417722,3.563795617,45.78502492,194.2008632,145.9582379,2.89473564,0.227882598,2456560.002,20130924.5,1579.760823,4.325149413,1.40219,545.6902823,3.38,2.86E-08,7.65E-09,7.64E-08,0.00000331,0.000069711,0.0000735,0.000022485,8.34E-09,9.85E-10,0.00009823,0.00000683,MBA,Otto Matic,56474,1861-01-31,42262,1491,0,0,0,0.63,0,0,0,0,0
a0000027,2000027,    27 Euterpe,27,Euterpe,0,N,N,7,0,114100.00,4480.00,0,0,0,118631.60,0,0.162,10.4082,0,0.878,0.502,0,S,S,0,8826.03,JPL 91,2457200.5,57200,20150627,J2000,0.172217382,2.346737054,1.942588143,1.583690263,94.79871851,356.5839454,311.3428078,2.750885964,0.274162106,2457377.976,20151221.48,1313.091751,3.595049283,0.959791,373.5218635,3.54,2.47E-08,2.59E-09,5.79E-08,0.00000278,0.000097926,0.000098261,0.00000896,3.03E-09,4.54E-10,0.000032791,0.00000217,MBA,Otto Matic,59123,1853-11-10,42272,2256,0,0,0,0.58,0,0,0,0,0
a0000029,2000029,    29 Amphitrite,29,Amphitrite,0,N,N,5.85,0.2,227149.00,3975.00,0,0,0,193011.22,0,0.1793,5.3921,0,0.838,0.449,0,S,S,0,5459.10,JPL 139,2457200.5,57200,20150627,J2000,0.072009738,2.554960358,2.370978331,6.089675361,356.419874,61.96096416,307.7532204,2.738942385,0.241339176,2457416.987,20160129.49,1491.676597,4.083987945,1.38994,540.9229498,3.427,3.23E-08,3.96E-09,8.27E-08,0.00000325,0.000033738,0.000043481,0.000026514,4.24E-09,5.60E-10,0.00010994,0.00000346,MBA,Davide Farnocchia,57626,1855-07-25,41397,1852,0,0,0,0.67,0,0,0,0,0
a0000030,2000030,    30 Urania,30,Urania,0,N,N,7.57,0,98408.00,2136.00,0,0,0,91376.39,0,0.1714,13.686,0,0.873,0.459,0,Sl,S,0,3192.14,JPL 93,2457200.5,57200,20150627,J2000,0.126609526,2.365323333,2.065850866,2.098002503,307.6298057,86.73483848,10.46013802,2.6647958,0.270936989,2457161.893,20150519.39,1328.72223,3.637843202,1.07375,417.8712875,3.537,2.61E-08,3.26E-09,6.14E-08,0.00000314,0.000084193,0.000085495,0.000012374,3.67E-09,5.60E-10,0.000045651,0.00000275,MBA,Otto Matic,56830,1860-02-22,42274,2648,0,0,0,0.52,0,0,0,0,0
a0000031,2000031,    31 Euphrosyne,31,Euphrosyne,0,N,N,6.74,0,259870.00,12740.00,0,0,0,265125.87,0,0.0543,5.53,0,0.687,0.317,0,Cb,C,0,5181.24,JPL 77,2457200.5,57200,20150627,J2000,0.221798299,3.155684337,2.455758919,26.30345867,31.13399752,61.45203465,201.05598,3.855609755,0.175818165,2458104.525,20171217.03,2047.570002,5.605941141,1.56788,610.1718596,3.01,2.71E-08,7.45E-09,8.58E-08,0.00000431,0.00000705,0.000012256,0.00000944,9.10E-09,6.22E-10,0.000055515,0.00000725,MBA,Otto Matic,56580,1860-10-25,42270,1544,0,0,0,0.57,0,0,0,0,0
a0000034,2000034,    34 Circe,34,Circe,0,N,N,8.51,0,115490.00,1880.00,0,0,0,113031.23,0,0.0541,12.15,0,0.707,0.357,0,Ch,C,0,957.33,JPL 60,2457200.5,57200,20150627,J2000,0.104598124,2.688063472,2.406897076,5.498178885,184.4231177,330.4952538,173.7480774,2.969229869,0.223637586,2456423.582,20130511.08,1609.747302,4.407247918,1.41864,552.0921288,3.359,2.39E-08,6.66E-09,6.46E-08,0.00000258,0.000038354,0.00004172,0.000017206,7.35E-09,8.31E-10,0.000076482,0.00000598,MBA,Otto Matic,55291,1864-04-28,42262,1983,0,0,0,0.57,0,0,0,0,0
a0000035,2000035,    35 Leukothea,35,Leukothea,0,N,N,8.5,0,99240.00,1947.00,0,0,0,110516.79,0,0.0662,31.9,0,0.703,0.335,0,C,C,0,3321.22,JPL 29,2457200.5,57200,20150627,J2000,0.226777032,2.993740795,2.314829143,7.935752034,353.7534529,213.3099089,308.9042196,3.672652446,0.19027546,2457469.036,20160321.54,1891.993848,5.179996846,1.31611,512.1905287,3.201,3.09E-08,8.92E-09,9.38E-08,0.00000413,0.000028357,0.000030044,0.000011186,1.09E-08,8.51E-10,0.0000595,0.000008458,MBA,Otto Matic,56673,1860-03-11,42135,1898,0,0,0,0.57,0,0,0,0,0
a0000036,2000036,    36 Atalante,36,Atalante,0,N,N,8.46,0,103000.00,11451.00,0,0,0,124666.79,0,0.0654,9.93,0,0.713,0.363,0,0,C,0,1419.57,JPL 73,2457200.5,57200,20150627,J2000,0.302000848,2.74873572,1.918615203,18.42627879,358.4136254,46.987519,357.9872095,3.578856237,0.21627414,2457209.807,20150706.31,1664.554067,4.557300662,0.96799,376.7126683,3.208,5.19E-08,1.07E-08,0.000000143,0.0000061,0.000013253,0.000016222,0.00000926,1.39E-08,1.26E-09,0.000042835,0.000009712,MBA,Otto Matic,54302,1866-02-08,41924,981,0,0,0,0.54,0,0,0,0,0
a0000038,2000038,    38 Leda,38,Leda,0,N,N,8.32,0,92250.00,490.00,0,0,0,91578.88,0,0.0618,12.838,0,0.726,0.419,0,Cgh,C,0,1416.43,JPL 88,2457200.5,57200,20150627,J2000,0.155574116,2.739363351,2.313189318,6.972200445,295.7504684,169.60341,60.20399987,3.165537384,0.217385019,2456923.554,20140923.05,1656.047879,4.534011988,1.331,517.98527,3.322,0.000000034,7.73E-09,9.31E-08,0.00000409,0.000034804,0.000037176,0.000012993,8.93E-09,9.20E-10,0.000059478,0.00000701,MBA,Otto Matic,58264,1856-01-29,42223,1571,0,0,0,0.57,0,0,0,0,0
a0000039,2000039,    39 Laetitia,39,Laetitia,0,N,N,6,0,179480.00,1680.00,0,0,0,205815.95,0,0.2869,5.138,0,0.898,0.494,0,S,S,0,1961.67,JPL 88,2457200.5,57200,20150627,J2000,0.113801029,2.768642731,2.453568339,10.38093281,157.1145362,208.2744578,2.953614159,3.083717122,0.213945767,2457186.695,20150613.19,1682.669423,4.606897805,1.45562,566.4836354,3.305,3.01E-08,4.03E-09,8.32E-08,0.00000352,0.000019066,0.000022972,0.000013773,4.49E-09,4.67E-10,0.000064365,0.00000367,MBA,Otto Matic,58236,1856-02-28,42225,5246,0,0,0,0.42,0,0,0,0,0
a0000040,2000040,    40 Harmonia,40,Harmonia,0,N,N,7,0,111250.00,390.00,0,0,0,122514.74,0,0.2418,8.91,0,0.854,0.432,0,S,S,0,1708.24,JPL 101,2457200.5,57200,20150627,J2000,0.046621499,2.266874648,2.161189554,4.257667219,94.23701839,268.6290953,64.45811492,2.372559741,0.288777143,2456977.289,20141115.79,1246.63606,3.413103518,1.1627,452.487959,3.61,2.68E-08,2.30E-09,6.09E-08,0.00000281,0.000042883,0.000051766,0.000029628,2.40E-09,4.39E-10,0.00010254,0.00000189,MBA,Otto Matic,55148,1864-09-27,42271,4662,0,0,0,0.45,0,0,0,0,0
a0000043,2000043,    43 Ariadne,43,Ariadne,0,N,N,7.93,0.11,71340.00,1250.00,0,0,0,65739.30,0,0.274,5.762,0,0.863,0.49,0,Sk,S,0,1455.54,JPL 95,2457200.5,57200,20150627,J2000,0.168763327,2.203124986,1.831318284,3.470344517,264.8652614,16.31662207,75.9062942,2.574931688,0.301401473,2456948.656,20141018.16,1194.420176,3.270144218,0.815003,317.1747175,3.642,3.06E-08,3.62E-09,6.74E-08,0.00000403,0.000060745,0.000061495,0.000010185,4.23E-09,7.43E-10,0.000033688,0.000002946,MBA,Otto Matic,55176,1864-08-03,42244,1673,0,0,0,0.6,0,0,0,0,0
a0000045,2000045,    45 Eugenia,45,Eugenia,0,N,N,7.46,0.07,206141.00,6218.00,0,0,0,268823.11,0,0.0398,5.699,0,0.676,0.274,0,C,FC,0,13827.68,JPL 86,2457200.5,57200,20150627,J2000,0.083432674,2.720857949,2.493849495,6.603743351,147.6776503,88.70536328,90.28229556,2.947866403,0.219606541,2456789.391,20140511.89,1639.295436,4.488146301,1.49324,581.1242108,3.344,2.69E-08,5.55E-09,7.42E-08,0.00000306,0.000028934,0.000033296,0.000017045,6.01E-09,6.72E-10,0.000077491,0.00000501,MBA,Otto Matic,54548,1866-05-19,42270,2390,0,0,0,0.53,0,0,0,0,0
a0000047,2000047,    47 Aglaja,47,Aglaja,0,N,N,7.84,0.16,138000.00,13000.00,0,0,0,123660.44,0,0.0801,13.178,0,0.665,0.3,0,B,C,0,2856.99,JPL 90,2457200.5,57200,20150627,J2000,0.132691142,2.879468248,2.497388319,4.983101661,3.123901132,313.9166015,131.1166534,3.261548177,0.20171381,2456550.487,20130914.99,1784.706756,4.886260798,1.48729,578.8086493,3.276,3.11E-08,8.82E-09,9.02E-08,0.00000442,0.000042987,0.000046311,0.000017228,9.99E-09,9.27E-10,0.000084527,0.0000082,MBA,Otto Matic,56816,1860-02-24,42262,1583,0,0,0,0.61,0,0,0,0,0
a0000048,2000048,    48 Doris,48,Doris,0,N,N,6.9,0,216470.00,4760.00,0,0,0,222139.31,0,0.0624,11.89,0,0.716,0.442,0,Ch,CG,0,8661.36,JPL 153,2457200.5,57200,20150627,J2000,0.07332513,3.110080729,2.882033655,6.547067227,183.5745974,253.5992909,177.389746,3.338127804,0.179699381,2456213.353,20121012.85,2003.345802,5.484861881,1.90649,741.9487133,3.205,2.57E-08,7.90E-09,8.05E-08,0.00000301,0.000027455,0.00003412,0.000020448,8.48E-09,6.85E-10,0.00011339,0.000007637,MBA,Otto Matic,56819,1860-02-27,42268,2003,0,0,0,0.59,0,0,0,0,0
a0000050,2000050,    50 Virginia,50,Virginia,0,N,N,9.24,0,84070.00,240.00,0,0,0,84651.07,0,0.0357,14.315,0,0.703,0.347,0,Ch,X,0,3756.32,JPL 92,2457200.5,57200,20150627,J2000,0.285670391,2.649305856,1.892477616,2.837831964,173.5325726,200.2259761,198.2987206,3.406134096,0.228562998,2457907.969,20170603.47,1575.058091,4.312274035,0.893617,347.7689279,3.33,0.000000033,4.68E-09,8.76E-08,0.00000418,0.000071246,0.000071407,0.00000708,6.01E-09,6.05E-10,0.000032136,0.00000417,MBA,Otto Matic,57651,1857-10-19,42239,2123,0,0,0,0.55,0,0,0,0,0
a0000051,2000051,    51 Nemausa,51,Nemausa,0,N,N,7.35,0.08,142600.00,12503.00,0,0,0,145628.74,0,0.0928,7.783,0,0.789,0.482,0,Ch,CU,0,1750.16,JPL 100,2457200.5,57200,20150627,J2000,0.066925226,2.365410152,2.207104544,9.979866562,176.0224084,2.203164925,77.19289546,2.52371576,0.270922073,2456915.573,20140915.07,1328.795386,3.638043493,1.21123,471.3743791,3.525,1.75E-08,2.28E-09,4.16E-08,0.00000202,0.000015722,0.000025809,0.000020494,2.43E-09,3.92E-10,0.000075653,0.00000192,MBA,Otto Matic,55506,1863-09-12,42248,4629,0,0,0,0.5,0,0,0,0,0
a0000052,2000052,    52 Europa,52,Europa,0,N,N,6.31,0.18,334563.00,20945.00,0,0,0,350828.13,0,0.0578,5.6304,0,0.679,0.338,0,C,CF,0,7494.18,JPL 89,2457200.5,57200,20150627,J2000,0.107768396,3.094574454,2.761077127,7.483139578,128.7280612,344.3550171,342.9659063,3.42807178,0.181051726,2457294.584,20150929.08,1988.382036,5.443893324,1.77899,692.3295383,3.202,2.88E-08,6.77E-09,8.94E-08,0.000003,0.000024175,0.000028143,0.000013517,7.50E-09,5.94E-10,0.000074668,0.00000652,MBA,Davide Farnocchia,55793,1860-07-09,41375,2209,0,0,0,0.6,0,0,0,0,0
